,tic_tess_id,tic_ra,tic_dec,tic_Tmag,bjd0,period,morph_coeff
905,134283998,106.914624440462,-47.9650911207813,9.9497,1468.4689823882889,0.6188380784702587,0.6188193000000001
908,151300352,258.759162087115,-33.5611582295692,9.16925,1627.7054246344203,0.6214256749590775,0.7097007
911,178938437,68.3535649450725,-23.9388063050475,8.44142,1438.4702121845148,0.6235870834626358,0.7371545999999999
921,279484342,58.6823928654838,-14.9351805341712,9.0947,1411.4861247564083,0.6322015830954618,0.67090356
924,441183795,333.829103277175,-24.9908345000441,8.3745,1325.8304787309082,0.6338895321355312,0.7289724
925,170676440,67.3533113789706,-33.5762057709718,9.9967,1411.0191997416175,0.6341928482900951,0.7467301
929,44790502,61.6531074628651,-27.668756569353,9.9844,1410.9433364959373,0.6384866493040786,0.69892234
936,7724421,66.4113597142358,-38.0594809189435,9.5443,1411.2378328024506,0.6405998048922625,0.8216003000000001
941,308457026,120.924523103211,-61.923183682561,9.8806,1520.2893575704104,0.6439002029701847,1.0103793
945,173077938,111.05155405014,-40.8681768223561,8.143,1491.8796841494973,0.6485283296545229,0.41875082
947,229864787,138.532603070454,-20.6025712195115,9.41256,1517.677717829436,0.6510089777744511,0.6946454000000001
952,140132301,127.336201138145,-43.8422060686635,9.3164,1517.7926245648678,0.6570841292595991,0.9771483
962,67687692,63.0527233860923,-6.02156986271808,9.2782,1438.187075093558,0.6641719841915276,0.6233358
967,294059372,263.932697507616,-71.4067947588332,9.3882,1625.0926298178272,0.6667437888997341,0.6053386
973,13345143,78.880185077132,-28.7505908414244,9.12188,1437.9989339012072,0.6723508287975608,0.7839713
978,42827646,97.030853245051,-3.1330341343798,8.78636,1469.0881732969474,0.6780302430559821,0.85775363
988,231922417,92.9064052337688,-45.9146523315252,8.7325,1438.3260890595166,0.6872143901859363,0.6266463000000001
993,113061684,292.739026227325,-32.6990897788696,6.9747,1657.0500810279127,0.6932294502756023,0.88219905
997,139148071,344.633138098087,-42.2880123575015,9.813,1325.5995859107766,0.700794799590842,0.61464083
1007,1129452,37.1653046561653,-9.59595276071333,8.5415,1411.497546966341,0.714017093784729,0.9876629
1008,99646802,321.235771874031,-21.6525086307591,9.5943,1325.470260258844,0.7155581570947537,0.75094855
1015,122285268,227.325504,-38.9386,9.504,1600.044662980508,0.7208625556209478,0.64409304
1016,129888462,56.0543107457163,-41.2796818870251,8.5508,1411.621724412102,0.7224240855737314,0.5950694000000001
1018,144149848,60.7434444236444,-44.3921727119155,7.5241,2141.803005552029,0.7233873033568669,0.33812654
1023,220521199,42.0046977462661,-62.9641185030175,7.6334,1325.4152929556185,0.7288498282560123,0.64537716
1027,37601240,93.1552150913669,-25.26873526431,8.96371,1468.8248290307563,0.7313791459210315,0.6230948000000001
1029,322078735,175.605615582311,-62.4770760484734,8.5258,1570.1869971554977,0.7316135211847137,0.65254176
1037,325412896,346.333359781727,-78.5649509076682,9.4251,1325.8613934678426,0.7386687077192928,0.60942125
1040,278895603,101.077950674338,-55.4536104867398,9.8577,1545.1803087688836,0.7409491251145451,0.75727147
1044,152825521,344.569627800438,-41.8261786697709,9.9152,1325.5485425520203,0.7431320164613138,0.58251786
1052,184176428,126.745442232213,-39.0320957211732,9.1835,1517.6833367898791,0.7468293375984371,0.60278773
1053,222945452,245.890483,-44.117953,9.625,1628.17910030057,0.7482018790505569,0.5951221999999999
1058,410359089,150.654342922734,-20.4240251103521,6.62785,1545.546158188999,0.7523219912424844,0.8919741
1059,200363295,77.0674925514957,-44.81775167097,8.9343,1411.4566889614034,0.753186551707283,0.5253955
1060,211412634,321.916827310406,-31.7955861504742,7.4796,1325.5089849112444,0.7535755054227051,0.84538865
1064,115443990,6.72875110137221,-39.8819840417411,8.6149,1354.582158719185,0.7553465242052829,0.6268658
1067,219403686,78.4101422312002,-49.3540972769063,9.9909,1468.5833378930386,0.7602517978499032,0.43472487
1071,14091704,77.3234600701574,-36.5909664380935,9.1577,1438.414667836241,0.7650591136056614,0.42928162
1074,166606391,313.358046256304,-49.3828986782313,8.2962,2037.0743017260293,0.7673139167382708,0.37196627
1077,29914747,166.234222331546,-36.5551299831517,9.6448,1544.8611999510929,0.7713662669389161,0.6218215
